TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
ACAA1|30	38.0903	22.7332	8.4041	20.0595	30.698	23.184	20.2931	37.8657	15.2998	12.2977	29.7475	26.563	37.0582
ACAA2|10449	21.8088	14.8656	27.7693	7.8317	9.5865	17.0322	11.7254	18.7365	22.0918	25.3346	16.6635	41.2297	83.0034
ACACA|31	9.6574	12.9462	13.2066	2.2129	5.9429	3.7391	3.2714	9.6699	8.119	10.881	3.0452	5.8348	27.9577
ACACB|32	1.0987	1.6191	17.9323	8.6335	10.4569	12.269	12.5845	9.4319	25.5096	21.185	7.5945	8.1302	3.7338
ACAD10|80724	3.445	5.3267	2.5896	5.2117	10.4373	7.9412	9.3377	6.9852	4.8241	4.0651	7.9154	8.237	5.5156
ACAD11|84129	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD8|27034	2.7846	3.1325	2.6801	3.8905	5.8615	5.796	5.4754	5.2468	3.6641	3.555	5.0339	4.9036	6.1351
ACAD9|28976	12.7746	10.5756	7.0419	5.6399	12.0311	7.2683	6.6202	8.3723	7.5693	7.6136	6.4251	11.9366	10.8696
ACADL|33	0.1369	0.0206	0.0812	2.6858	2.9867	2.8699	2.8078	0.6453	1.9843	0.9162	2.6885	0.1612	0.0334
ACADM|34	10.4828	22.0492	21.8632	17.0674	24.5324	19.89	18.0851	20.3971	18.6291	10.4352	24.3123	12.0265	9.0133
ACADSB|36	2.8588	8.8441	9.5542	11.417	17.8807	12.6542	12.1116	8.3515	10.9724	7.6817	12.4609	4.4031	7.0808
ACADS|35	6.8394	8.4978	9.5046	18.0925	30.5264	27.0786	23.0912	20.7121	13.9778	6.7424	32.1947	34.7807	22.5233
ACADVL|37	99.7505	69.7734	31.2	55.5621	119.947	101.7135	70.4433	86.9801	57.4041	41.6618	82.9784	59.6413	43.632
ACAN|176	0.0068	0.0138	0.0207	0.0544	0.088	0.4059	0.1065	0.1709	0.1259	0.7115	0.0214	0.1505	0.0197
ACAP1|9744	2.8815	0.8973	0.7489	1.5223	0.8795	2.8664	1.5927	2.2898	1.2099	0.7712	1.6393	3.0412	0.4211
