TCGA-2H-A9GO-01A-11R-A37I-31	TCGA-L5-A4OT-01A-11R-A28J-31	TCGA-L5-A8NF-01A-11R-A37I-31	TCGA-L5-A8NH-01A-11R-A37I-31	TCGA-LN-A5U5-01A-21R-A28J-31	TCGA-R6-A8W5-01B-11R-A37I-31	TCGA-VR-A8EU-01A-11R-A36D-31	TCGA-VR-A8EX-01A-11R-A36D-31	TCGA-VR-AA7B-01A-31R-A406-31
ACOT11|26027	3.8052	2.8481	5.8483	8.3413	1.9188	7.6052	1.9919	4.3644	18.3489
ACOT12|134526	0.0198	0	0.0084	0	0.0224	0	0	0	0
ACOT13|55856	15.6218	4.6558	8.4581	4.5809	17.035	5.476	7.104	10.5729	2.5428
ACOT1|641371	0	0	0	0	0	0	0	0	0
ACOT2|10965	3.1553	3.0585	2.3032	5.7591	2.432	3.0269	3.0392	3.1355	2.7858
ACOT4|122970	1.8187	3.5289	3.5444	2.8453	1.2567	1.8238	0.8794	0.8174	2.4909
ACOT6|641372	0.2443	0.3868	0	0.0863	0.0583	0.1747	0.039	0	0.0354
ACOT7|11332	18.6421	6.473	24.2723	20.3114	18.3936	73.3509	48.8808	29.6201	88.7023
ACOT8|10005	13.2518	5.8841	15.4206	6.7967	4.7023	6.1825	3.0357	6.3833	7.3033
ACOT9|23597	22.6546	15.8838	9.4166	9.6329	11.4618	16.5178	12.2396	7.7453	60.7344
ACOX1|51	27.3753	24.7954	18.4357	18.4719	6.8717	15.0926	6.0576	8.1735	9.6461
ACOX2|8309	0.1062	0.71	1.9696	0.4515	0.3916	2.0024	0.2625	0.4893	0.8516
ACOX3|8310	4.7865	3.281	6.6639	5.7732	4.4454	7.0957	2.9696	13.6614	2.8192
ACOXL|55289	0.2137	0.1186	0.0273	0.2305	0.0799	0.5226	0.024	0.0674	0.5253
ACP1|52	44.9729	22.6205	17.5464	24.2604	35.4427	18.6614	21.2239	20.2118	25.8033
ACP2|53	25.8175	17.9545	7.0101	17.3893	14.7135	19.0078	22.5898	13.8031	12.999
ACP5|54	6.7491	19.1833	7.1668	14.4584	10.1456	30.5348	37.1208	19.8893	16.2583
ACP6|51205	5.532	1.6439	2.2292	5.6313	3.8254	14.7249	0.5989	4.8442	3.2198
ACPL2|92370	7.7033	5.2969	1.9799	3.825	5.8078	3.7683	1.2203	3.2947	12.4232
ACPP|55	4.5018	6.0702	4.5458	3.0719	1.9868	3.0599	1.96	10.5249	2.6271
ACPT|93650	0.0967	0.0376	0.2046	0.0691	0.0225	0.037	0.0641	0.0784	0.0529
ACRBP|84519	2.7285	0.8874	1.1703	2.1007	0.4317	2.2155	0.2327	0.6451	0.9937
ACRC|93953	1.285	0.5581	0.6652	0.4156	0.1496	0.1067	1.1755	0.2757	0.0733
ACRV1|56	0.2204	0.1004	0.1169	0.121	0.122	0.261	0.2519	0.0407	0.1563
ACR|49	0.1341	0.0752	0.0246	0.0395	0.1206	0.0071	0.2731	0.0544	0.5927
ACSBG1|23205	0.0572	0.1469	0.1011	0.0853	0.1436	0.135	0.0415	0.162	0.1729
ACSBG2|81616	0.1691	0.0298	0.0477	0.0363	0.0037	0.0659	0.1055	0.0772	0.0885
ACSF2|80221	4.3799	3.4376	12.6335	3.6747	8.5012	10.3033	3.2055	3.1092	8.8871
ACSF3|197322	8.4772	2.2639	7.571	6.2644	5.303	4.6907	4.089	5.2148	5.7843
ACSL1|2180	8.1485	17.3593	6.2954	6.0935	7.5763	13.3988	11.6452	23.1386	25.3494
ACSL3|2181	28.9767	48.4663	40.367	19.8147	27.0327	25.3631	22.7117	21.9422	24.8194
ACSL4|2182	8.2364	23.9891	25.3833	21.7257	25.1305	20.6868	13.3376	16.895	10.0896
ACSL5|51703	3.3217	18.2583	53.7611	57.5832	23.7191	70.5637	17.8623	3.3698	2.1709
ACSL6|23305	0.0059	0.0538	0.1433	0.0586	0.0589	0.088	0.0516	0.0516	0.4376
ACSM1|116285	0.0826	0.0674	0.0965	0.204	0.0103	0.1744	0.0341	0.1244	0.0434
ACSM2A|123876	0.0039	0.0015	0.0014	4e-04	8e-04	0	0	0	0.0013
ACSM2B|348158	0	0	0.0063	0.0108	0	0	0	0	0
ACSM3|6296	12.3894	1.8896	13.8188	3.9255	2.8058	6.9746	1.7344	2.7865	1.499
