TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-BW-A5NP-01A-11R-A27V-07	TCGA-DD-A119-01A-11R-A131-07	TCGA-DD-A1EK-01A-11R-A213-07	TCGA-DD-A3A9-01A-11R-A266-07	TCGA-FV-A2QQ-01A-11R-A22L-07
ADAMTS2|9509	112.8635	9.7609	135.4624	79.4979	152.7873	112.7113
ADAMTS3|9508	3.9428	0.9761	11.9319	53.5565	30.2822	2.5047
ADAMTS4|9507	72.4495	115.1781	268.1172	769.8745	264.969	432.6863
ADAMTS5|11096	47.3139	142.9966	76.5046	225.1046	148.6579	58.8604
ADAMTS6|11174	7.3928	25.3782	3.5094	1.6736	11.6999	3.757
ADAMTS7|11173	69.4924	61.0054	58.9577	97.9079	269.7866	88.2905
ADAMTS8|11095	4.4357	2.4402	4.9131	0.8368	18.5822	3.1309
ADAMTS9|56999	173.4845	379.6974	113.7042	509.6234	291.1218	176.5811
ADAMTSL1|92949	61.1138	10.2489	68.0821	47.6987	99.7935	59.4865
ADAMTSL2|9719	236.5697	168.3748	960.1685	83.682	2719.2017	509.7057
ADAMTSL3|57188	345.4904	51.2445	171.2581	1070.2929	1125.2581	95.1785
ADAMTSL4|54507	943.3218	926.3055	995.2623	4579.9163	8526.4969	574.2016
ADAMTSL5|339366	236.5697	19.0337	82.1197	316.318	8.947	300.5636
ADAP1|11033	54.209	161.0883	27.4785	84.5021	76.7997	69.7245
ADAP2|55803	214.3913	61.0054	128.4436	370.7113	178.9401	182.8428
ADARB1|104	154.2632	159.59	155.1149	179.9163	244.3221	246.7126
ADARB2|105	0.4929	2.4402	1.4038	0.8368	6.1941	3.757
ADAR|103	8174.963	11227.428	7386.559	7779.9163	6446.6621	7358.7977
ADAT1|23536	208.9699	54.6608	62.4671	144.7699	35.788	48.8416
ADAT2|134637	195.6629	93.7042	40.7089	23.431	62.629	121.4778
ADAT3|113179	22.6713	21.9619	70.1878	93.7238	28.9057	55.7295
ADA|100	237.5554	83.9434	284.9623	211.7155	282.1748	207.8898
ADCK1|57143	327.2548	134.2118	368.4857	459.4142	301.4453	366.938
ADCK2|90956	798.9157	836.5398	802.9479	775.7322	790.0895	916.819
ADCK4|79934	824.5441	445.0952	662.5724	764.0167	492.7736	1116.4684
ADCK5|203054	252.3411	360.6637	684.3306	133.0544	173.4343	815.9048
ADCY10|55811	252.3411	8.2967	9.1244	29.2887	18.5822	135.2536
ADCY1|107	45.3425	49.7804	40.007	440.1674	125.2581	37.5704
ADCY2|108	1.4786	0	1.4038	0	1.3765	1.8785
ADCY3|109	228.2997	72.5915	115.7045	140.2176	350.5643	176.1302
ADCY4|196883	88.2208	63.9336	81.4178	40.1674	402.6153	161.5529
ADCY5|111	41.8926	53.1967	7.7207	24.2678	37.1645	103.9449
ADCY6|112	937.4076	1281.1127	316.5468	715.4812	1021.3352	780.8391
ADCY7|113	236.0769	112.2499	96.8591	176.569	136.958	177.8334
ADCY8|114	1.9714	0	9.1244	3.3473	0	0.6262
