TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
ABCA4|24	58.6797	50.7614	89.7376	2.1936	265.2697	43.537	64.8703	43.7363	151.4143	7.0723	14.4058	1.9624	15.615	12.9282	3.8049	6.9893	12.6945	32.1396	4.0058	5.7887
ABCA5|23461	233.9038	75.6807	153.5947	346.5942	125.2786	151.9028	178.6427	336.5615	188.6855	90.6916	17.407	395.0098	500.631	94.6994	383.2042	60.1078	788.2963	322.7732	636.4749	113.6035
ABCA6|23460	101.8745	11.5367	96.7703	134.6891	16.9416	24.7875	39.9202	154.535	57.9035	19.5528	13.8055	182.226	34.4168	21.0084	6.5226	47.8765	546.1723	189.1644	12.0174	1.4472
ABCA7|10347	337.4083	241.3475	366.2643	322.0255	300.9362	242.7902	208.2502	137.0405	215.9734	317.4207	124.8499	317.9142	963.9898	227.5372	177.198	134.1941	252.0319	438.0165	636.4749	1379.1606
ABCA8|10351	57.0497	0.9229	20.5356	35.0981	8.4708	12.3937	7.3187	358.2214	59.2346	13.3125	2.401	457.8077	11.4723	44.2793	0	0.3495	634.724	236.4555	4.896	1.4472
ABCA9|10350	144.2543	2.7688	71.7338	49.1374	36.1123	7.9447	18.2967	206.6021	15.9734	17.8887	1.2005	73.1707	28.0433	18.0995	16.8501	10.8334	503.4445	166.6667	4.0058	2.1708
ABCB10|23456	366.7482	416.7051	574.9956	575.6096	218.9033	320.9661	662.6747	498.1777	844.2596	495.4758	486.1945	679.5627	820.905	435.682	1053.9475	268.7376	406.8426	534.4353	270.6131	577.424
ABCB11|8647	0	0.9229	0	0.8775	0	0	0.3327	34.5725	1.6639	0	0	0.2803	0	0.3232	0	0	0.6192	0	0	1.4472
ABCB1|5243	122.2494	23.9963	13.7841	67.1252	29.8707	15.8894	14.9701	86.6396	15.9734	20.3848	21.6086	88.0292	50.3505	19.3924	47.8326	11.1828	788.9156	334.7107	16.0231	10.8538
ABCB4|5244	35.8598	31.3798	34.0384	23.2525	5.35	14.3005	49.5675	21.6599	31.2812	19.5528	9.0036	57.4713	11.4723	82.4176	4.892	13.9785	44.8951	25.7117	9.3468	1.4472
ABCB5|340273	61.9397	0	4.7823	1.3162	6.2416	0.9534	0.6653	5.415	0.3328	1.6641	4.2017	1.1214	308.1581	0.9696	1.0871	0.3495	209.3041	11.4784	0	0
ABCB6|10058	389.5681	379.5893	1163.0326	506.7032	1160.8114	512.7449	619.4644	246.2022	532.1864	1599.4217	621.8127	359.8542	510.7266	920.3911	454.9259	578.8237	296.8279	901.7447	1347.3284	1169.3343
ABCB7|22	444.9878	461.4675	461.628	292.6308	418.6358	299.9921	498.004	564.407	515.1414	364.4306	325.9304	349.5935	497.1319	453.4583	662.59	380.9154	378.0478	537.6492	522.5325	573.0825
ABCB8|11194	899.7555	850.4845	881.3411	1301.7026	857.7798	729.9595	666.9993	659.3773	589.3511	1283.8274	315.7263	867.1152	819.3117	1299.6122	1016.4425	959.9768	445.5453	718.09	767.3306	1012.301
ABCB9|23457	135.5501	144.0471	284.7353	224.6062	225.8716	314.0415	783.3633	106.0044	190.2163	882.3255	161.3025	279.316	380.0924	281.0795	779.6494	201.1618	224.4632	144.0542	1246.4182	230.8683
ABCC10|89845	563.1622	232.1181	402.2719	368.0918	510.0312	481.4491	401.8629	450.276	242.5957	305.7722	459.1837	364.4519	648.8209	348.0931	493.0018	596.5345	448.0223	364.0955	425.9486	381.3314
ABCC11|85320	318.6634	289.8016	1856.6393	3623.8839	2.675	1842.2182	72.5216	17.078	530.782	2.4961	1.2005	12.0549	1404.7164	890.7563	27.1776	90.5111	374.0228	761.708	4752.6427	290.1592
ABCC12|94160	5.705	0.9229	7.0327	70.1963	0	15.5716	0.998	0	2.6622	0	0	0	112.1734	4.8481	0	0	0.6192	15.1515	171.8037	0
