TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
ACAA1|30	1993.3959	1517.1743	479.1335	2584.0933	686.0786	1623.6297	785.4236	1234.2951	1228.0528	637.9398	647.4487	4241.6194	1784.3976	3023.702
ACAA2|10449	3032.0962	2891.1212	2251.6725	2383.1715	840.2409	1744.6204	3262.3011	2545.1197	5010.6533	2031.025	2268.1466	2002.2672	4761.3562	2401.2415
ACACA|31	1375.776	1016.2022	2828.9264	738.8002	892.384	745.0264	628.9308	1238.7968	992.0617	1787.6914	2138.4652	372.4696	2124.0948	900.1129
ACACB|32	548.4084	712.2489	393.756	575.4446	665.9582	449.8579	220.1258	97.4013	1265.3619	521.5452	529.5856	1216.5182	875.576	760.7223
ACAD10|80724	2561.8809	892.4174	567.0596	2247.7058	1242.3663	995.5339	298.1872	613.4643	1840.7307	1978.3027	661.5028	3420.2429	1899.9342	2573.9278
ACAD11|84129	835.2503	613.0914	657.5342	642.039	69.7131	554.6082	627.8209	612.6458	767.3083	359.3227	651.6011	3402.1053	1196.1817	1227.4266
ACAD8|27034	360.8506	702.5275	337.6872	386.4756	283.3865	330.8973	367.7395	412.9323	495.3566	228.3281	190.0503	537.004	642.528	597.0655
ACAD9|28976	856.9383	613.7395	540.2357	1064.9424	523.1286	852.6106	645.9489	1020.2578	739.6591	686.201	1931.8055	1430.8923	1345.293	1104.9605
ACADL|33	132.0829	1195.7226	132.5263	430.3028	268.9338	171.7418	256.3818	297.1148	526.3726	5.2722	20.4424	1677.085	716.2607	938.4876
ACADM|34	1891.9561	2426.442	1294.6798	747.338	1576.4789	751.9285	1379.5782	693.2679	1700.9341	500.4563	856.6637	751.417	1397.9592	1545.1467
ACADSB|36	772.4211	828.9047	634.597	364.8467	1112.5753	392.6106	1087.3104	571.3116	1500.454	389.3339	949.2933	492.3077	779.7893	983.6343
ACADS|35	845.3309	668.1789	53.5202	1714.3808	1733.475	915.9562	711.4317	827.5015	2433.1808	1185.035	796.2948	1319.5142	1220.5398	2962.1896
ACADVL|37	20719.963	3430.324	3884.0395	9287.3566	5881.6578	7069.0175	6863.4776	8258.6454	13978.2169	6835.9972	4738.1043	27490.7984	10848.2093	14216.6591
ACAN|176	24.3033	134.8023	50.9716	44.9655	145.3773	250.9135	139.1047	492.7358	899.9128	267.2615	467.3002	8.4211	12.8374	14.6727
ACAP1|9744	32.7566	22.035	8.92	133.7581	100.3188	643.9302	51.0544	147.7389	160.474	80.3001	24.5947	68.0162	26.0039	80.1354
ACAP2|23527	447.497	594.9449	986.3014	474.6991	1188.8062	706.8616	1057.3437	795.5801	774.0509	510.1896	948.3351	504.6154	842.0013	483.07
ACAP3|116983	1125.0931	1619.6695	182.2236	884.5226	291.8881	1071.08	432.8709	633.1123	1032.5803	580.3508	482.9514	1756.217	607.3206	714.193
ACAT1|38	2627.9223	5404.407	1255.1768	1939.7775	903.4361	1131.9529	1493.8957	1860.0368	4102.1999	536.1452	859.219	1200.3239	4948.3213	4671.5576
ACAT2|39	228.9262	373.3247	566.2823	245.2043	276.8686	248.6155	766.2634	459.3247	248.0379	85.3128	124.7784	199.1968	268.9006	579.2551
ACBD3|64746	853.2558	991.5749	1719.0188	577.1521	1575.062	679.2529	1445.801	603.2331	836.5323	1752.0024	1328.1163	347.2065	895.9842	1038.3747
ACBD4|79777	869.6341	759.5593	244.6639	491.7746	288.204	314.2509	451.7203	367.5056	824.3956	734.8677	472.4108	1803.4008	726.1356	641.6479
ACBD5|91452	1057.7202	1062.2165	1179.9936	723.4323	1816.7906	644.3362	1325.9341	762.4309	1589.4564	1225.185	1296.8139	1009.8785	1052.9954	1408.5779
ACBD6|84320	529.9168	467.2715	849.9522	582.2748	503.011	465.2862	717.3511	488.6433	514.6854	720.2677	360.2971	420.4049	348.9138	533.86
ACBD7|414149	23.2466	12.9618	95.5718	26.1824	22.3875	32.8867	46.2449	70.3908	10.7882	5.6778	108.9196	46.6397	107.3074	19.1874
ACCN1|40	16.9066	0	28.0344	0.5692	10.7687	54.4052	2.2198	5.3202	31.016	4.0556	24.5947	25.2632	130.6781	5.079
ACCN2|41	102.4964	11.0175	146.5435	16.5063	130.0744	28.0146	217.1661	193.984	76.8657	50.6945	245.628	22.6721	24.3581	34.9887
