TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
ADCYAP1|116	6.1121	0.7184	169.8669	0.813	9.5332	8.2237
ADC|113451	13.7523	30.5316	7.288	21.5447	308.0215	296.6009
ADD1|118	4957.6927	2917.7443	4515.487	4955.2846	3709.7365	4908.443
ADD2|119	4.5841	1.4368	0.8409	6.5041	3.616	0
ADD3|120	1487.537	1742.4569	2227.8907	1083.3333	397.4366	493.9693
ADH1A|124	0	0.3592	0	0	1.3149	0
ADH1B|125	1.146	6.4655	2.2425	1.2195	182.4461	8.2237
ADH1C|126	4.5841	36.6379	14.2957	6.9106	0.9862	2.7412
ADH4|127	0.764	2.8736	0.2803	0.813	0	0
ADH5|128	2166.3642	2760.0575	2715.9075	1590.2439	2465.816	3024.1228
ADH6|130	1.146	1.4368	0.8409	1.626	0.3287	0
ADH7|131	0	0.3592	0.5606	0	0	10.9649
ADHFE1|137872	153.185	290.9483	76.5242	614.6341	21.6963	39.4737
ADI1|55256	4963.8048	2048.1322	2767.7645	2484.9593	857.3321	1473.136
ADIG|149685	0	0	0	0.4065	0	0
ADIPOQ|9370	0	0	0	0.4065	0	1.0965
ADIPOR1|51094	2199.5989	2339.0805	1967.7645	2339.8374	2371.1413	2440.7895
ADIPOR2|79602	5558.9724	10036.9971	4276.6643	7021.5447	1957.2682	2003.2895
ADK|132	425.1743	261.4943	427.4702	295.5285	645.9577	148.0263
ADM2|79924	63.7952	512.5718	768.8858	4370.3252	10.5194	88.2675
ADM|133	7131.3151	1965.8764	3413.8753	2297.561	1338.5952	4530.1535
ADNP2|22850	493.5536	904.454	818.5004	950.4065	690.0077	303.1798
ADNP|23394	1638.0479	2193.6063	3014.7162	1327.2358	3511.8401	1133.7719
