TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
ABCB10|23456	183.7406	401.5662	161.758	250.245	174.3475	244.898	131.6581	268.8228	189.4926	203.7877	185.3262	250.5057	219.5021	211.2054	396.2791	184.102	430.5136	210.9091	485.6176	208.3573	258.1541	232.6091	150.4154	180.0554	174.9898
ABCB11|8647	0	0	0	1.3068	0	3.6355	0	0	0	0.8599	0	0.6743	0	0.3396	0	0	0	0	0	0	0	0.3716	0	0	0
ABCB1|5243	2.8195	9.0127	2.7186	6.5338	11.0762	193.3405	13.2796	26.8823	27.3911	12.468	17.9504	7.0802	6.2241	16.9779	5.5814	0.7499	8.7613	8.1818	11.2803	79.9179	14.9202	18.579	110.188	15.2355	19.8944
ABCB4|5244	0	21.0297	1.8124	5.8804	2.0511	23.1348	0	10.9209	3.1432	5.1592	9.2178	15.8463	1.2448	2.7165	1.8605	1.1249	1.2085	20.9091	2.8201	11.4168	0.694	1.8579	12.2431	15.2355	3.6541
ABCB5|340273	0	0	0	0	5.333	1.6525	0	0	0.449	0	0	0	0	1.0187	0	0.7499	0	0.9091	0	4.4852	0.694	0	1.3118	0.6925	0
ABCB6|10058	106.7763	31.5111	113.4662	58.2914	124.9313	64.665	36.1547	45.9981	57.454	112.3799	96.9373	109.3661	89.8257	60.9677	39.6512	619.625	156.994	41.2727	41.9571	105.5895	173.4698	199.806	77.2628	134.2936	94.8112
ABCB7|22	316.2594	675.9531	641.5949	672.9827	615.7545	614.0626	584.3039	616.6124	598.5631	440.2502	543.3649	597.7748	602.4896	806.7912	1429.3023	394.4507	1302.719	732.7273	728.1444	545.5619	744.6218	1058.26	589.8557	524.2382	514.4133
ABCB8|11194	1288.5338	834.8438	1587.6756	782.0974	1071.1092	756.8371	1184.9227	891.3158	875.1684	1075.2596	925.1757	619.0155	1112.4481	720.2037	1024.186	1470.5662	682.7795	1343.6364	598.9848	1120.0736	788.3414	764.7118	888.9375	1078.2548	1047.097
ABCB9|23457	424.3797	362.6146	438.1513	345.9196	281.7989	123.3909	319.5383	265.3198	382.0027	872.293	265.196	240.0101	405.8133	256.2513	191.5767	172.171	267.9003	159.6909	200.0169	354.7946	247.6926	273.3232	482.829	273.4488	409.6387
ABCC10|89845	381.5789	221.6459	316.2664	356.4195	331.8757	183.7561	235.2392	233.9599	241.1316	254.9496	299.821	269.0492	281.3278	178.2683	177.6744	211.4736	169.7885	260	174.8449	281.7513	157.5295	222.948	302.5798	326.8698	308.5668
ABCC11|85320	0.4699	1.0014	9.5152	2.2868	0.8205	0.3305	1.5177	0.8401	4.4903	2.5796	0.4851	1.3486	2.4896	5.0934	0	1.4998	3.3233	0	1.128	1.631	2.4289	1.1147	2.1863	1.385	1.218
ABCC12|94160	0.4699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13|150000	4.2293	0	0	0.3267	0	0	0	0	0.449	0	0	2.0229	0	0	0	0	0	0	0	0	0.347	0	0	0	0
