TCGA-KL-8323-01A-21R-2315-07	TCGA-KL-8326-01A-11R-2315-07	TCGA-KL-8334-01A-11R-2315-07	TCGA-KL-8335-01A-11R-2315-07	TCGA-KL-8338-01A-11R-2315-07	TCGA-KL-8343-01A-11R-2315-07	TCGA-KL-8344-01A-11R-2315-07	TCGA-KL-8345-01A-11R-2315-07	TCGA-KM-8440-01A-11R-2315-07	TCGA-KN-8429-01A-11R-2315-07	TCGA-KN-8433-01A-11R-2315-07	TCGA-KO-8405-01A-11R-2315-07	TCGA-KO-8408-01A-11R-2315-07	TCGA-KO-8416-01A-11R-2315-07
ABHD13|84945	320.702	389.0743	271.0562	238.788	248.5902	420.9049	486.6494	618.6047	268.0099	317.5601	221.6393	282.7652	287.3932	245.6925
ABHD14A|25864	377.3434	858.3859	658.1802	490.9361	513.0968	392.8657	227.9759	563.1783	409.2302	217.8336	275.4098	209.7936	732.5588	509.2464
ABHD14B|84836	1571.9984	6263.2555	2783.722	4871.6765	2607.1429	2976.1487	3096.1815	2934.1085	2077.932	2763.4011	5329.8361	2140.1824	2991.9872	2900.9601
ABHD15|116236	154.7667	450.8713	257.1559	295.7761	259.8684	567.1694	368.9348	176.3566	133.8149	131.2384	564.5902	292.8469	283.6538	209.391
ABHD1|84696	0.3989	32.6288	5.487	12.0397	3.2895	2.806	1.7227	0.3876	7.223	1.4787	73.4426	4.8008	13.8889	7.8916
ABHD2|11057	14623.8532	11623.7795	26972.1079	43452.5936	16144.2669	20893.7215	8786.1039	38548.062	28613.5716	17051.0166	7671.4754	5043.687	19306.0897	11716.9538
ABHD3|171586	2866.773	1267.0869	2192.9584	1870.1716	1507.9887	1759.0319	1460.5225	2186.8217	2035.3545	1035.8595	988.8525	1881.9011	836.0043	1073.2606
ABHD4|63874	1003.9888	1515.7582	1079.1038	1085.5824	1611.8421	455.2788	663.5085	872.8682	838.2437	859.5194	2308.1967	1275.084	884.6154	1742.9962
ABHD5|51099	631.0331	291.1877	504.0695	498.0435	463.8158	473.8688	325.5814	456.9767	401.4446	419.2237	240	577.5324	481.3034	460.8707
ABHD6|57406	713.203	995.1798	1530.8642	1878.5994	1305.4511	767.0993	372.9543	1991.4729	2104.1627	1064.695	644.5902	727.3164	826.9231	1016.4409
ABHD8|79575	422.4172	520.084	671.9707	370.0211	728.8534	353.5602	332.1849	484.1085	339.8593	303.1423	1196.0656	342.2948	762.2863	890.1749
ABI1|10006	673.3147	686.3775	748.0567	668.3616	470.1269	636.1663	1215.4005	606.2016	543.2427	768.3919	1061.7377	1115.8137	339.4444	675.5491
ABI2|10152	474.272	684.7114	613.4431	802.6487	503.7594	1268.3269	1869.3655	680.6202	786.5425	759.7043	417.7049	558.3293	659.188	664.4745
ABI3BP|25890	313.921	17.3032	294.4673	126.0159	108.5526	210.1017	120.8728	196.5116	27.3712	483.1793	110.8197	60.0096	585.4701	37.3537
ABI3|51225	114.4795	89.9765	204.481	34.9152	156.9549	105.9277	329.3138	83.7209	58.9242	142.329	416.3934	413.8262	131.9444	215.1782
ABL1|25	1891.5038	1901.8663	2040.7865	2849.8044	3839.7556	861.1014	2091.0135	1076.7442	3236.647	1436.5989	2217.7049	2592.8949	1926.8162	3016.1778
ABL2|27	352.6127	314.4234	288.6145	268.8873	279.1353	291.1259	772.3227	312.0155	263.0679	399.6303	228.8525	727.3164	274.5726	345.1269
ABLIM1|3983	238.5321	3381.0407	3534.3393	3071.7367	2039.4737	822.8692	5204.4215	263.9535	3522.5242	3559.7043	1086.5574	1358.1373	2325.8547	428.252
ABLIM2|84448	33.5062	30.6513	72.428	10.8358	67.1992	13.6794	23.2558	13.1783	12.9253	9.9815	51.8033	42.2468	33.6538	29.9882
ABLIM3|22885	232.9477	24.7188	85.5967	112.3708	132.5188	58.9267	163.652	122.8682	29.6522	207.3937	139.0164	78.7326	489.8504	58.9241
ABO|28	5.9832	3.4606	18.6557	0	9.8684	3.1568	77.5194	8.5271	8.7436	24.3993	7.2131	5.7609	2.1368	5.2611
ABP1|26	17.5509	4.9438	70.9648	3.6119	45.1128	100.6664	561.0106	1.5504	2.6611	2.2181	3.9344	57.1291	3.7393	16.8355
ABRA|137735	0.3989	0.4944	0.3658	0.8026	1.4098	0	0	0.3876	1.1405	0.7394	1.3115	1.9203	2.1368	0
ABR|29	4899.8803	3586.7013	1767.5354	4011.2371	2603.8534	2558.4006	5827.1605	3397.2868	1613.3815	902.7726	3430.1639	2688.9102	9722.2222	832.303
ABT1|29777	353.8093	580.8923	321.5364	305.8092	453.4774	432.4798	385.8742	302.3256	351.264	344.5471	315.4098	463.7542	417.735	398.79
ABTB1|80325	312.7244	964.0341	382.6246	537.7747	415.4135	635.5665	822.2796	181.0078	461.5092	604.0665	912.7869	634.6615	928.4188	786.5316
ABTB2|25841	2488.2329	639.7231	3906.3557	1250.1254	3526.7857	2378.4637	810.7953	999.2248	1936.8941	1173.7523	2673.4426	1409.5055	1838.141	2306.9841
ACAA1|30	1239.3299	1896.4281	1503.0636	1984.1477	2917.7632	1705.7173	895.4924	1535.2713	1427.8654	1254.7135	1640	2126.2602	3047.0085	1916.0858
ACAA2|10449	3340.2473	4000	2796.5249	3665.2955	6286.1842	5899.3336	2831.4671	4776.7442	4373.3131	1509.7967	4891.1475	3487.278	4308.7607	4547.6785
